block_id,offering_id
F_ENG_1,1
F_ENG_1,2
F_ENG_1,3
F_ENG_1,6
F_ENG_1,7
F_ENG_1,8
F_ENG_1,9
F_ENG_1,10
F_ENG_1,11
F_ENG_1,12
F_ENG_1,13
F_ENG_1,14
F_ENG_1,15
F_ENG_2,4
F_ENG_2,5
F_ENG_2,3
F_ENG_2,6
F_ENG_2,7
F_ENG_2,8
F_ENG_2,9
F_ENG_2,10
F_ENG_2,11
F_ENG_2,12
F_ENG_2,13
F_ENG_2,14
F_ENG_2,15
F_ENG_3,1
F_ENG_3,2
F_ENG_3,3
F_ENG_3,6
F_ENG_3,7
F_ENG_3,8
F_ENG_3,9
F_ENG_3,10
F_ENG_3,11
F_ENG_3,12
F_ENG_3,13
F_ENG_3,14
F_ENG_3,15
F_ENG_4,4
F_ENG_4,5
F_ENG_4,3
F_ENG_4,6
F_ENG_4,7
F_ENG_4,8
F_ENG_4,9
F_ENG_4,10
F_ENG_4,11
F_ENG_4,12
F_ENG_4,13
F_ENG_4,14
F_ENG_4,15
F_ENG_5,1
F_ENG_5,2
F_ENG_5,3
F_ENG_5,6
F_ENG_5,7
F_ENG_5,8
F_ENG_5,9
F_ENG_5,10
F_ENG_5,11
F_ENG_5,12
F_ENG_5,13
F_ENG_5,14
F_ENG_5,15
