offering_id,course_id,section_type,section_code,day_of_week,start_time,end_time,capacity,current_enrollment,term,academic_year,status
1,MATH1004,LECTURE,A,1,08:30,10:00,120,0,FALL,2024-2025,ACTIVE
2,MATH1004,LAB,A1,1,13:30,14:30,30,0,FALL,2024-2025,ACTIVE
3,MATH1004,TUTORIAL,T1,2,14:30,15:30,30,0,FALL,2024-2025,ACTIVE
4,MATH1004,LECTURE,B,2,10:30,12:00,120,0,FALL,2024-2025,ACTIVE
5,MATH1004,LAB,B1,3,13:30,14:30,30,0,FALL,2024-2025,ACTIVE
6,CHEM1101,LECTURE,A,1,10:30,12:00,120,0,FALL,2024-2025,ACTIVE
7,CHEM1101,LAB,A1,2,08:30,11:30,30,0,FALL,2024-2025,ACTIVE
8,CHEM1101,TUTORIAL,T1,3,14:30,15:30,30,0,FALL,2024-2025,ACTIVE
9,ARCH1000,LECTURE,A,1,14:30,16:00,120,0,FALL,2024-2025,ACTIVE
10,ECOR1041,LECTURE,A,2,08:30,10:00,120,0,FALL,2024-2025,ACTIVE
11,ECOR1041,LAB,A1,3,10:30,13:30,30,0,FALL,2024-2025,ACTIVE
12,ECOR1041,TUTORIAL,T1,4,14:30,15:30,30,0,FALL,2024-2025,ACTIVE
13,ECOR1043,LECTURE,A,3,08:30,10:00,120,0,FALL,2024-2025,ACTIVE
14,ECOR1043,LAB,A1,4,10:30,13:30,30,0,FALL,2024-2025,ACTIVE
15,ECOR1043,TUTORIAL,T1,5,14:30,15:30,30,0,FALL,2024-2025,ACTIVE
16,ECOR1042,LECTURE,A,1,16:30,18:00,120,0,WINTER,2024-2025,ACTIVE
17,ECOR1042,LAB,A1,2,13:30,16:30,30,0,WINTER,2024-2025,ACTIVE
18,ECOR1044,LECTURE,A,3,16:30,18:00,120,0,WINTER,2024-2025,ACTIVE
19,ECOR1055,LECTURE,A,4,08:30,10:00,120,0,WINTER,2024-2025,ACTIVE
20,ECOR1055,LAB,A1,5,10:30,13:30,30,0,WINTER,2024-2025,ACTIVE
21,ECOR1057,LECTURE,A,5,08:30,10:00,120,0,WINTER,2024-2025,ACTIVE
22,MATH1104,LECTURE,A,1,10:30,12:00,120,0,WINTER,2024-2025,ACTIVE
23,MATH1104,TUTORIAL,T1,2,14:30,15:30,30,0,WINTER,2024-2025,ACTIVE
24,PHYS1004,LECTURE,A,3,10:30,12:00,120,0,WINTER,2024-2025,ACTIVE
25,PHYS1004,LAB,A1,4,14:30,17:30,30,0,WINTER,2024-2025,ACTIVE
