section_id,course_id,section_code,type,capacity,room_id,term,academic_year,parent_section_id
1,ECOR1041,A1,LECTURE,120,101,FALL,2024-2025,
2,ECOR1041,A2,LAB,30,201,FALL,2024-2025,1
3,ECOR1041,A3,TUTORIAL,30,301,FALL,2024-2025,1
4,MATH1004,A1,LECTURE,120,101,FALL,2024-2025,
5,MATH1004,A2,TUTORIAL,30,301,FALL,2024-2025,4
6,PHYS1004,A1,LECTURE,100,102,FALL,2024-2025,
7,PHYS1004,A2,LAB,25,202,FALL,2024-2025,6
8,CHEM1101,A1,LECTURE,100,102,FALL,2024-2025,
9,CHEM1101,A2,LAB,25,202,FALL,2024-2025,8
10,ECOR1045,A1,LECTURE,120,101,FALL,2024-2025,
11,ECOR1045,A2,LAB,30,201,FALL,2024-2025,10
